rsi_period,overbought,oversold,total_profit_pips,total_profit_currency,num_trades,win_rate,profit_factor,max_drawdown,max_drawdown_pct,score,valid
18,85,25,56.400000000000055,56.40000000000006,3,100.0,56.400000000000055,0.0,0.0,1056.25,True
19,85,25,37.60000000000004,37.600000000000044,2,100.0,37.60000000000004,0.0,0.0,1037.5000000000002,True
26,85,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
27,80,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
27,85,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
26,80,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
28,80,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
25,85,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
30,85,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
28,85,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
24,80,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
24,85,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
22,85,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
30,80,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
29,80,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
21,85,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
29,85,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
20,85,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
25,80,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
23,80,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
23,85,25,18.80000000000002,18.800000000000022,1,100.0,18.80000000000002,0.0,0.0,1018.7500000000001,True
17,85,25,40.2000000000006,40.2000000000006,4,75.0,3.4814814814816013,16.199999999999477,1.5612952968388083,778.6600000000009,True
18,80,25,40.2000000000006,40.2000000000006,4,75.0,3.4814814814816013,16.199999999999477,1.5612952968388083,778.6600000000009,True
30,85,30,21.400000000000578,21.40000000000058,3,66.66666666666666,2.3209876543210672,16.199999999999477,1.619999999999948,676.5766666666675,True
28,85,30,21.400000000000578,21.40000000000058,3,66.66666666666666,2.3209876543210672,16.199999999999477,1.619999999999948,676.5766666666675,True
30,80,30,21.400000000000578,21.40000000000058,3,66.66666666666666,2.3209876543210672,16.199999999999477,1.619999999999948,676.5766666666675,True
19,80,25,21.400000000000578,21.40000000000058,3,66.66666666666666,2.3209876543210672,16.199999999999477,1.5901060070670863,676.5766666666675,True
29,85,30,21.400000000000578,21.40000000000058,3,66.66666666666666,2.3209876543210672,16.199999999999477,1.619999999999948,676.5766666666675,True
14,85,20,21.400000000000578,21.40000000000058,3,66.66666666666666,2.3209876543210672,16.199999999999477,1.5612952968388083,676.5766666666675,True
29,80,30,21.400000000000578,21.40000000000058,3,66.66666666666666,2.3209876543210672,16.199999999999477,1.619999999999948,676.5766666666675,True
28,80,30,21.400000000000578,21.40000000000058,3,66.66666666666666,2.3209876543210672,16.199999999999477,1.619999999999948,676.5766666666675,True
27,85,30,21.400000000000578,21.40000000000058,3,66.66666666666666,2.3209876543210672,16.199999999999477,1.619999999999948,676.5766666666675,True
26,80,30,21.400000000000578,21.40000000000058,3,66.66666666666666,2.3209876543210672,16.199999999999477,1.619999999999948,676.5766666666675,True
26,85,30,21.400000000000578,21.40000000000058,3,66.66666666666666,2.3209876543210672,16.199999999999477,1.619999999999948,676.5766666666675,True
27,80,30,21.400000000000578,21.40000000000058,3,66.66666666666666,2.3209876543210672,16.199999999999477,1.619999999999948,676.5766666666675,True
21,70,25,69.40000000000285,69.40000000000286,13,61.53846153846154,1.8567901234568536,48.59999999999843,4.758175053847504,650.1146153846194,True
20,70,25,72.00000000000341,72.00000000000342,15,60.0,1.7407407407408,32.399999999998954,3.1721167025650026,648.5700000000041,True
23,70,25,48.000000000002274,48.00000000000229,10,60.0,1.7407407407408004,48.59999999999843,4.683885890516424,613.4800000000034,True
20,70,15,53.20000000000339,53.2000000000034,14,57.14285714285714,1.5473251028807111,32.399999999998954,3.2315978456013297,601.2485714285754,True
20,70,20,53.20000000000339,53.2000000000034,14,57.14285714285714,1.5473251028807111,32.399999999998954,3.2315978456013297,601.2485714285754,True
29,70,25,24.000000000001137,24.00000000000114,5,60.0,1.7407407407408007,32.399999999998954,3.1225905936776166,601.0700000000019,True
17,80,25,24.000000000001137,24.00000000000114,5,60.0,1.7407407407408007,32.399999999998954,3.1225905936776166,601.0700000000019,True
12,85,20,24.000000000001137,24.00000000000114,5,60.0,1.7407407407408007,32.399999999998954,3.1225905936776166,601.0700000000019,True
21,70,20,50.60000000000284,50.600000000002844,12,58.333333333333336,1.6246913580247468,48.59999999999843,4.847396768401995,599.3133333333373,True
21,70,15,50.60000000000284,50.600000000002844,12,58.333333333333336,1.6246913580247468,48.59999999999843,4.847396768401995,599.3133333333373,True
30,65,25,55.800000000003955,55.80000000000396,16,56.25,1.492063492063543,45.99999999999784,4.515115822536105,585.3000000000055,True
30,65,30,58.40000000000452,58.400000000004525,18,55.55555555555556,1.4506172839506668,45.99999999999784,4.588071015359846,580.8555555555616,True
27,70,25,26.600000000001696,26.6000000000017,7,57.14285714285714,1.5473251028807118,32.399999999998954,3.1225905936776166,574.9985714285738,True
18,75,25,26.600000000001696,26.6000000000017,7,57.14285714285714,1.5473251028807118,32.399999999998954,3.1225905936776166,574.9985714285738,True
26,70,25,26.600000000001696,26.6000000000017,7,57.14285714285714,1.5473251028807118,32.399999999998954,3.1225905936776166,574.9985714285738,True
29,70,30,26.600000000001696,26.6000000000017,7,57.14285714285714,1.5473251028807118,32.399999999998954,3.1721167025650026,574.9985714285738,True
25,70,25,26.600000000001696,26.6000000000017,7,57.14285714285714,1.5473251028807118,32.399999999998954,3.1225905936776166,574.9985714285738,True
20,70,30,68.80000000000675,68.80000000000676,26,53.84615384615385,1.3539094650206227,48.599999999998204,4.580584354382466,571.9415384615465,True
10,75,20,81.80000000000952,81.80000000000959,36,52.77777777777778,1.2970225127088317,62.19999999999732,6.171859495931455,564.2377777777892,True
27,70,30,29.200000000002255,29.20000000000226,9,55.55555555555556,1.450617283950667,32.399999999998954,3.1721167025650026,561.6255555555584,True
26,70,30,29.200000000002255,29.20000000000226,9,55.55555555555556,1.450617283950667,32.399999999998954,3.1721167025650026,561.6255555555584,True
23,70,15,29.200000000002255,29.20000000000226,9,55.55555555555556,1.450617283950667,48.59999999999843,4.770318021201259,550.2855555555589,True
23,70,20,29.200000000002255,29.20000000000226,9,55.55555555555556,1.450617283950667,48.59999999999843,4.770318021201259,550.2855555555589,True
22,70,25,31.800000000002814,31.800000000002818,11,54.54545454545454,1.3925925925926401,48.59999999999843,4.758175053847504,542.6845454545494,True
21,70,35,79.20000000000898,79.200000000009,34,52.94117647058824,1.3055555555556004,91.99999999999568,8.984374999999568,542.5117647058944,True
30,65,15,37.000000000003936,37.00000000000395,15,53.333333333333336,1.3262786596120382,45.99999999999784,4.599999999999784,537.3833333333388,True
30,65,20,37.000000000003936,37.00000000000395,15,53.333333333333336,1.3262786596120382,45.99999999999784,4.599999999999784,537.3833333333388,True
19,70,25,42.20000000000506,42.20000000000506,19,52.63157894736842,1.2894375857339262,45.99999999999784,4.503622478950246,535.3657894736907,True
21,70,30,47.40000000000618,47.40000000000618,23,52.17391304347826,1.2659932659933093,48.59999999999843,4.746093749999841,533.9691304347899,True
20,70,35,68.20000000001065,68.20000000001066,39,51.28205128205128,1.2215724496426668,97.19999999999686,9.396751740138875,511.03051282052564,True
11,75,30,67.60000000001455,67.60000000001456,52,50.0,1.1604938271605332,94.59999999999593,8.76575240919154,498.78000000001737,True
25,85,30,5.200000000001118,5.200000000001118,4,50.0,1.1604938271605336,16.199999999999477,1.619999999999948,493.6600000000015,True
29,75,30,5.200000000001118,5.200000000001118,4,50.0,1.1604938271605336,16.199999999999477,1.619999999999948,493.6600000000015,True
30,75,30,5.200000000001118,5.200000000001118,4,50.0,1.1604938271605336,16.199999999999477,1.619999999999948,493.6600000000015,True
25,80,30,5.200000000001118,5.200000000001118,4,50.0,1.1604938271605336,16.199999999999477,1.619999999999948,493.6600000000015,True
27,75,30,5.200000000001118,5.200000000001118,4,50.0,1.1604938271605336,16.199999999999477,1.619999999999948,493.6600000000015,True
28,75,30,5.200000000001118,5.200000000001118,4,50.0,1.1604938271605336,16.199999999999477,1.619999999999948,493.6600000000015,True
26,75,30,5.200000000001118,5.200000000001118,4,50.0,1.1604938271605336,16.199999999999477,1.619999999999948,493.6600000000015,True
28,65,30,26.000000000005603,26.0000000000056,20,50.0,1.1604938271605336,45.99999999999784,4.588071015359846,492.8000000000071,True
29,65,30,26.000000000005603,26.0000000000056,20,50.0,1.1604938271605336,45.99999999999784,4.588071015359846,492.8000000000071,True
28,75,25,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
27,75,25,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
21,80,25,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
26,75,25,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
25,75,25,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
24,75,25,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
23,75,25,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
20,80,25,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
22,75,25,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
22,80,25,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
16,80,20,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
15,85,20,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
16,85,20,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
